,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Routes Completed,Doors in Route
0,Londonderry Chapel,Bonnie Doon Stake,1,3,14,25,0,Clareview Ward,1,14
1,Gateway Stake Centre,Gateway Stake,3,1,18,25,1,Crawford Plains Ward,2,144
2,Gateway Stake Centre,Gateway Stake,2,0,20,30,0,Silver Berry Ward,1,186
3,Gateway Stake Centre,Gateway Stake,2,0,20,25,1,Crawford Plains Ward,1,0
4,Londonderry Chapel,Bonnie Doon Stake,1,0,2,5,0,Londonderry Ward,1,1
5,Bearspaw Chapel,Gateway Stake,2,0,20,20,0,Blackmud Creek Ward,1,179
6,Gateway Stake Centre,Gateway Stake,1,4,17,25,0,Lee Ridge Ward,1,141
7,Londonderry Chapel,Bonnie Doon Stake,2,0,32,45,0,Londonderry Ward,1,27
8,Londonderry Chapel,Bonnie Doon Stake,2,0,100,50,1,Londonderry Ward,2,200
9,Bearspaw Chapel,Bonnie Doon Stake,2,3,15,45,0,Southgate Ward,1,13
10,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,30,30,0,Connors Hill Ward,1,300
11,Londonderry Chapel,Bonnie Doon Stake,1,0,17,60,0,Clareview Ward,1,110
12,Londonderry Chapel,Bonnie Doon Stake,3,2,20,40,0,Londonderry Ward,1,107
13,Coronation Park Chapel,Bonnie Doon Stake,2,1,25,55,0,Coronation Park Ward,1,20
14,Londonderry Chapel,Bonnie Doon Stake,2,3,24,45,1,Clareview Ward,3,250
15,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,5,10,60,0,Connors Hill Ward,1,184
16,Londonderry Chapel,Bonnie Doon Stake,2,2,12,30,0,Londonderry Ward,1,12
17,Londonderry Chapel,Bonnie Doon Stake,2,0,30,45,1,Londonderry Ward,2,0
18,Londonderry Chapel,Bonnie Doon Stake,2,0,16,25,0,Londonderry Ward,1,98
19,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,10,20,1,Forest Heights Ward,2,120
20,Coronation Park Chapel,Bonnie Doon Stake,2,0,20,60,0,Coronation Park Ward,1,96
21,Gateway Stake Centre,Gateway Stake,5,0,29,30,0,Silver Berry Ward,1,19
22,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,40,30,0,Forest Heights Ward,1,200
23,Coronation Park Chapel,Bonnie Doon Stake,2,0,18,63,0,Coronation Park Ward,1,140
24,Gateway Stake Centre,Gateway Stake,2,3,21,30,0,Silver Berry Ward,1,1
25,Bearspaw Chapel,Gateway Stake,5,3,24,40,0,Lee Ridge Ward,1,157
26,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,40,60,1,Connors Hill Ward,2,375
27,Gateway Stake Centre,Gateway Stake,3,0,35,30,0,Silver Berry Ward,1,250
28,Gateway Stake Centre,Gateway Stake,2,0,15,25,0,Crawford Plains Ward,1,116
29,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,30,30,0,Forest Heights Ward,1,115
30,Londonderry Chapel,Bonnie Doon Stake,1,1,36,45,0,Clareview Ward,1,15
31,Londonderry Chapel,Bonnie Doon Stake,2,0,16,30,0,Clareview Ward,1,110
32,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,15,30,0,Forest Heights Ward,1,90
33,North Stake Centre,Edmonton North Stake,2,1,21,45,0,Griesbach Ward,1,206
34,Gateway Stake Centre,Gateway Stake,2,3,21,32,0,Silver Berry Ward,1,202
35,North Stake Centre,Edmonton North Stake,1,1,23,45,0,Griesbach Ward,1,206
36,Riverbend Stake Centre,Riverbend Stake,2,0,30,50,0,Greenfield Ward,1,172
37,Londonderry Chapel,Bonnie Doon Stake,2,0,24,30,0,Clareview Ward,1,23
38,Coronation Park Chapel,Bonnie Doon Stake,2,0,5,32,0,Coronation Park Ward,1,302
39,North Stake Centre,Edmonton North Stake,2,3,29,60,0,Griesbach Ward,1,107
40,Gateway Stake Centre,Gateway Stake,1,0,20,20,0,Crawford Plains Ward,1,100
41,Londonderry Chapel,Bonnie Doon Stake,2,1,17,30,0,Londonderry Ward,1,182
42,Londonderry Chapel,Bonnie Doon Stake,3,0,15,45,1,Londonderry Ward,2,200
43,North Stake Centre,Edmonton North Stake,2,2,24,30,0,Griesbach Ward,1,20
44,Gateway Stake Centre,Gateway Stake,2,0,26,45,0,Crawford Plains Ward,1,150
45,Gateway Stake Centre,Gateway Stake,3,0,24,35,0,Silver Berry Ward,1,194
46,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,3,30,60,1,Forest Heights Ward,2,100
47,Gateway Stake Centre,Gateway Stake,2,2,33,50,1,Ellerslie Ward,1,207
48,Londonderry Chapel,Bonnie Doon Stake,2,2,11,35,0,Londonderry Ward,1,116
49,Bearspaw Chapel,Gateway Stake,2,0,15,45,0,Blackmud Creek Ward,1,135
50,Gateway Stake Centre,Gateway Stake,1,0,11,20,0,Silver Berry Ward,1,29
51,Riverbend Stake Centre,Riverbend Stake,2,3,22,30,0,Rabbit Hill Ward,1,80
52,North Stake Centre,Edmonton North Stake,2,0,23,100,0,Namao Ward,1,160
53,Gateway Stake Centre,Gateway Stake,2,0,23,30,0,Wainwright Branch,1,137
54,Gateway Stake Centre,Gateway Stake,1,4,16,20,1,Lee Ridge Ward,2,147
55,Riverbend Stake Centre,Riverbend Stake,4,2,59,60,1,Rabbit Hill Ward,2,236
56,Gateway Stake Centre,Gateway Stake,1,1,5,17,0,Crawford Plains Ward,1,135
57,North Stake Centre,Edmonton North Stake,2,3,35,70,0,Griesbach Ward,1,370
58,Riverbend Stake Centre,Riverbend Stake,3,1,25,45,0,Woodbend Ward,1,100
59,Gateway Stake Centre,Gateway Stake,2,0,15,40,0,Crawford Plains Ward,1,115
60,North Stake Centre,Edmonton North Stake,2,2,16,60,0,Griesbach Ward,1,200
61,Gateway Stake Centre,Gateway Stake,2,0,20,30,0,Silver Berry Ward,1,198
